"","PD38026MD"
"","Indicadores bursátiles - Índice General Bursátil BVL (índice)"
05Nov09,14590.38
06Nov09,14622.76
09Nov09,14774.89
10Nov09,14634.07
11Nov09,14628.92
12Nov09,14531.24
13Nov09,14550.06
16Nov09,14668.47
17Nov09,14551.98
18Nov09,14555.17
19Nov09,14574.96
20Nov09,14557.69
23Nov09,14563.3
24Nov09,14419.03
25Nov09,14526.17
26Nov09,14322.64
27Nov09,14292.87
30Nov09,14129
01Dic09,14276.32
02Dic09,14409.87
03Dic09,14242.63
04Dic09,14123.93
07Dic09,14041.69
08Dic09,14041.69
09Dic09,13999.6
10Dic09,14075.7
11Dic09,14178.59
14Dic09,14238.88
15Dic09,14140.06
16Dic09,14213.36
17Dic09,14040.49
18Dic09,13992.37
21Dic09,13873.91
22Dic09,13789.56
23Dic09,14018.18
24Dic09,14081.95
25Dic09,14081.95
28Dic09,14042.35
29Dic09,14028.7
30Dic09,14018.81
31Dic09,14167.2
01Ene10,14167.2
04Ene10,14561.09
05Ene10,14921.5
06Ene10,15242.47
07Ene10,15355.31
08Ene10,15629.12
11Ene10,15924.8
12Ene10,15590.51
13Ene10,15539.13
14Ene10,15244.26
15Ene10,15104.7
18Ene10,15224.81
19Ene10,15194.76
20Ene10,15054.02
21Ene10,14811.1
22Ene10,14866.45
25Ene10,14851.75
26Ene10,14805.49
27Ene10,14668.93
28Ene10,14498.26
29Ene10,14440.05
01Feb10,14512.75
02Feb10,14659.14
03Feb10,14543.03
04Feb10,14086.5
05Feb10,13867.26
08Feb10,13808.44
09Feb10,14133.49
10Feb10,14176.46
11Feb10,14360.07
12Feb10,14286.24
15Feb10,14366.76
16Feb10,14529.61
17Feb10,14395.21
18Feb10,14407.69
19Feb10,14446.74
22Feb10,14414
23Feb10,14097.89
24Feb10,14122.57
25Feb10,13982.74
26Feb10,14002.32
01Mar10,14140.31
02Mar10,14210.62
03Mar10,14250.53
04Mar10,14231.25
05Mar10,14429.93
08Mar10,14469.68
09Mar10,14398.9
10Mar10,14346.8
11Mar10,14284.16
12Mar10,14374.65
15Mar10,14253.62
16Mar10,14458.31
17Mar10,14713.5
18Mar10,14717.48
19Mar10,14731.97
22Mar10,14759.52
23Mar10,14826.61
24Mar10,14758.5
25Mar10,14823.92
26Mar10,14974.1
29Mar10,15219.54
30Mar10,15138.2
31Mar10,15129
01Abr10,15129
02Abr10,15129
05Abr10,15467.42
06Abr10,15669.25
07Abr10,15691.17
08Abr10,15633.99
09Abr10,15733.36
12Abr10,15743.5
13Abr10,15691.72
14Abr10,15803.61
15Abr10,15728.57
16Abr10,15482.56
19Abr10,15469.36
20Abr10,15575.93
21Abr10,15684.63
22Abr10,15774.67
23Abr10,15980.78
26Abr10,16046.03
27Abr10,15790.21
28Abr10,15928.24
29Abr10,15913.88
30Abr10,15842.26
03May10,15784.92
04May10,15259.12
05May10,15242.4
06May10,14973.47
07May10,14847.53
10May10,15420.57
11May10,15505.65
12May10,15577.36
13May10,15490.29
14May10,15193.46
17May10,14892.76
18May10,14922.34
19May10,14658.24
20May10,14211.72
21May10,14567.1
24May10,14586.04
25May10,14264.32
26May10,14342.61
27May10,14645.98
28May10,14504.14
31May10,14487.31
01Jun10,14270.71
02Jun10,14243.76
03Jun10,14135.08
04Jun10,13818.03
07Jun10,13503.75
08Jun10,13622.09
09Jun10,13872.44
10Jun10,14155.79
11Jun10,14217.71
14Jun10,14279.75
15Jun10,14423.16
16Jun10,14391.73
17Jun10,14344.47
18Jun10,14342.7
21Jun10,14428.11
22Jun10,14338.11
23Jun10,14252.45
24Jun10,14120.76
25Jun10,14198.29
28Jun10,14159.72
29Jun10,14159.72
30Jun10,13985.01
01Jul10,13834.78
02Jul10,13823.92
05Jul10,13722.28
06Jul10,13734.13
07Jul10,13761.96
08Jul10,13816.7
09Jul10,13985.41
12Jul10,13953.64
13Jul10,14056.7
14Jul10,14067.84
15Jul10,14077.74
16Jul10,13916.69
19Jul10,13843.8
20Jul10,13835.76
21Jul10,13820.07
22Jul10,14049.7
23Jul10,14152.01
26Jul10,14225.3
27Jul10,14179.1
28Jul10,14179.1
29Jul10,14179.1
30Jul10,14275.38
